,exp_iso3,group,year,av_degree,clustering,modularity,avg_duration,super,seq0.5,seq0.75
3568,DNK,haddock,2016,9.14814814814815,0.369094488188976,0,0.684210526315789,NA,NA,NA
3569,ESP,haddock,2016,9.14814814814815,0.369094488188976,0,0.285714285714286,NA,NA,NA
3570,FRA,haddock,2016,9.14814814814815,0.369094488188976,0,0.7,NA,NA,NA
3571,GBR,haddock,2016,9.14814814814815,0.369094488188976,0,0.444444444444444,NA,NA,NA
3572,IRL,haddock,2016,9.14814814814815,0.369094488188976,0,0.5,NA,NA,NA
3573,ISL,haddock,2016,9.14814814814815,0.369094488188976,0,0.636363636363636,NA,NA,NA
3574,NLD,haddock,2016,9.14814814814815,0.369094488188976,0,0.521739130434783,NA,NA,NA
3575,NOR,haddock,2016,9.14814814814815,0.369094488188976,0,0.5,NA,NA,NA
3576,SWE,haddock,2016,9.14814814814815,0.369094488188976,0,0.818181818181818,NA,NA,NA
3577,USA,haddock,2016,9.14814814814815,0.369094488188976,0,0.333333333333333,NA,NA,NA
3578,RUS,haddock,2016,9.14814814814815,0.369094488188976,0,0.533333333333333,NA,NA,NA
3579,GRL,haddock,2016,9.14814814814815,0.369094488188976,0,0,NA,NA,NA
3580,BRA,hake,1995,4.75,0.202562838836865,0.00153653047091412,0,0.6566033,0,1
3581,CAN,hake,1995,4.75,0.202562838836865,0.00153653047091412,0,1.033799056,0,0
3582,CHL,hake,1995,4.75,0.202562838836865,0.00153653047091412,0,0.7426741,0,1
3583,ESP,hake,1995,4.75,0.202562838836865,0.00153653047091412,0,1.261299,0,0
3584,PRT,hake,1995,4.75,0.202562838836865,0.00153653047091412,0,0.9923387,0,0
3585,URY,hake,1995,4.75,0.202562838836865,0.00153653047091412,0,0.9828805,0,0
3586,USA,hake,1995,4.75,0.202562838836865,0.00153653047091412,0,0.71633468925,0,1
3587,ARG,hake,1995,4.75,0.202562838836865,0.00153653047091412,0,1.09742,0,0
3588,NZL,hake,1995,4.75,0.202562838836865,0.00153653047091412,0,1.519372,0,0
3589,PER,hake,1995,4.75,0.202562838836865,0.00153653047091412,0,1.292049,0,0
3590,FLK,hake,1995,4.75,0.202562838836865,0.00153653047091412,0,1.032477,0,0
3591,BRA,hake,1996,5.61764705882353,0.195146612740142,0,0,0.6387462,0,1
3592,CAN,hake,1996,5.61764705882353,0.195146612740142,0,0,1.058049389,0,0
3593,CHL,hake,1996,5.61764705882353,0.195146612740142,0,0,0.7688637,0,0
3594,ESP,hake,1996,5.61764705882353,0.195146612740142,0,0,1.196405,0,0
3595,PRT,hake,1996,5.61764705882353,0.195146612740142,0,0,0.7434569,0,1
3596,URY,hake,1996,5.61764705882353,0.195146612740142,0,0,1.005629,0,0
3597,USA,hake,1996,5.61764705882353,0.195146612740142,0,0,0.7650341095,0,0
3598,NZL,hake,1996,5.61764705882353,0.195146612740142,0,0,1.36758,0,0
3599,PER,hake,1996,5.61764705882353,0.195146612740142,0,0,1.015889,0,0
3600,ARG,hake,1996,5.61764705882353,0.195146612740142,0,0,0.96993875,0,0
3601,FLK,hake,1996,5.61764705882353,0.195146612740142,0,0,1.291894,0,0
3602,ARG,hake,1997,5.82857142857143,0.182632880098888,0,0,1.0996955,0,0
